FECHA;INDICATIVO;TEMP_MIN
01-01-2016;1387;3.7(16)
01-02-2016;1387;3.9(19)
01-03-2016;1387;4.1(01)
01-04-2016;1387;5.0(01)
01-05-2016;1387;7.4(01)
01-06-2016;1387;11.7(02)
01-07-2016;1387;14.4(13)
01-08-2016;1387;14.7(21)
01-09-2016;1387;12.5(21)
01-10-2016;1387;11.1(03)
01-11-2016;1387;5.9(22)
01-12-2016;1387;4.3(31)
01-01-2016;1387E;-0.1(16)
01-02-2016;1387E;-0.6(16)
01-03-2016;1387E;0.4(01)
01-04-2016;1387E;1.3(01)
01-05-2016;1387E;2.7(01)
01-06-2016;1387E;7.0(01)
01-07-2016;1387E;10.0(14)
01-08-2016;1387E;10.8(21)
01-09-2016;1387E;8.5(18)
01-10-2016;1387E;0
01-11-2016;1387E;0.7(25)
01-12-2016;1387E;-1.7(19)
01-01-2016;1428;-0.3(16)
01-02-2016;1428;0
01-03-2016;1428;0.5(01)
01-04-2016;1428;-0.9(01)
01-05-2016;1428;3.3(01)
01-06-2016;1428;8.4(11)
01-07-2016;1428;9.6(13)
01-08-2016;1428;10.9(11)
01-09-2016;1428;7.8(09)
01-10-2016;1428;4.8(02)
01-11-2016;1428;0.5(22)
01-12-2016;1428;-2.3(19)
01-01-2016;8175;-4.6(17)
01-02-2016;8175;-5.0(17)
01-03-2016;8175;-2.2(12)
01-04-2016;8175;0.3(02)
01-05-2016;8175;1.5(02)
01-06-2016;8175;8.7(01)
01-07-2016;8175;14.7(17)
01-08-2016;8175;13.6(13)
01-09-2016;8175;8.4(16)
01-10-2016;8175;3.5(30)
01-11-2016;8175;-1.8(16)
01-12-2016;8175;-3.2(30)
01-01-2016;8178D;-3.0(17)
01-02-2016;8178D;-2.9(17)
01-03-2016;8178D;-1.1(12)
01-04-2016;8178D;1.6(01)
01-05-2016;8178D;2.9(02)
01-06-2016;8178D;10.6(01)
01-07-2016;8178D;14.9(17)
01-08-2016;8178D;14.5(13)
01-09-2016;8178D;9.8(19)
01-10-2016;8178D;4.5(31)
01-11-2016;8178D;0.1(16)
01-12-2016;8178D;-3.4(30)
01-01-2016;8025;1.0(17)
01-02-2016;8025;3.1(17)
01-03-2016;8025;4.4(11)
01-04-2016;8025;7.0(02)
01-05-2016;8025;8.4(02)
01-06-2016;8025;14.8(01)
01-07-2016;8025;17.4(17)
01-08-2016;8025;18.3(13)
01-09-2016;8025;15.0(15)
01-10-2016;8025;11.2(30)
01-11-2016;8025;5.6(25)
01-12-2016;8025;5.5(27)
01-01-2016;8019;-0.4(17)
01-02-2016;8019;2.9(17)
01-03-2016;8019;4.1(13)
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;14.2(01)
01-07-2016;8019;0
01-08-2016;8019;19.6(13)
01-09-2016;8019;0
01-10-2016;8019;12.6(30)
01-11-2016;8019;5.9(25)
01-12-2016;8019;6.1(26)
01-01-2016;6325O;0
01-02-2016;6325O;5.8(16)
01-03-2016;6325O;6.6(09)
01-04-2016;6325O;9.4(02)
01-05-2016;6325O;10.6(03)
01-06-2016;6325O;14.7(17)
01-07-2016;6325O;21.7(17)
01-08-2016;6325O;21.4(24)
01-09-2016;6325O;17.3(15)
01-10-2016;6325O;14.6(30)
01-11-2016;6325O;8.5(25)
01-12-2016;6325O;8.0(26)
01-01-2016;9091O;-3.2(13)
01-02-2016;9091O;-5.4(17)
01-03-2016;9091O;-2.5(15)
01-04-2016;9091O;-2.6(02)
01-05-2016;9091O;-1.4(02)
01-06-2016;9091O;4.0(01)
01-07-2016;9091O;5.5(15)
01-08-2016;9091O;7.0(12)
01-09-2016;9091O;6.0(19)
01-10-2016;9091O;-0.6(21)
01-11-2016;9091O;-1.4(25)
